onset	duration	trial_type	response_time	sample	value
2.8862000000	0.0002000000	stimulus	n/a	28862.0000000000	tib12
3.1502000000	0.0002000000	stimulus	n/a	31502.0000000000	tib1
3.3992000000	0.0002000000	stimulus	n/a	33992.0000000000	tib1
3.6786000000	0.0002000000	stimulus	n/a	36786.0000000000	tib12
3.9632000000	0.0002000000	stimulus	n/a	39632.0000000000	tib2
4.2198000000	0.0002000000	stimulus	n/a	42198.0000000000	tib1
4.4884000000	0.0002000000	stimulus	n/a	44884.0000000000	tib2
4.7670000000	0.0002000000	stimulus	n/a	47670.0000000000	tib2
5.0029000000	0.0002000000	stimulus	n/a	50029.0000000000	tib1
5.2826000000	0.0002000000	stimulus	n/a	52826.0000000000	tib12
5.5339000000	0.0002000000	stimulus	n/a	55339.0000000000	tib12
5.8166000000	0.0002000000	stimulus	n/a	58166.0000000000	tib2
6.0952000000	0.0002000000	stimulus	n/a	60952.0000000000	tib12
6.3322000000	0.0002000000	stimulus	n/a	63322.0000000000	tib1
6.5879000000	0.0002000000	stimulus	n/a	65879.0000000000	tib12
6.8625000000	0.0002000000	stimulus	n/a	68625.0000000000	tib2
7.1092000000	0.0002000000	stimulus	n/a	71092.0000000000	tib1
7.3849000000	0.0002000000	stimulus	n/a	73849.0000000000	tib12
7.6527000000	0.0002000000	stimulus	n/a	76527.0000000000	tib2
7.8937000000	0.0002000000	stimulus	n/a	78937.0000000000	tib1
8.1304000000	0.0002000000	stimulus	n/a	81304.0000000000	tib2
8.3734000000	0.0002000000	stimulus	n/a	83734.0000000000	tib2
8.6313000000	0.0002000000	stimulus	n/a	86313.0000000000	tib12
8.9133000000	0.0002000000	stimulus	n/a	89133.0000000000	tib1
9.1580000000	0.0002000000	stimulus	n/a	91580.0000000000	tib2
9.4446000000	0.0002000000	stimulus	n/a	94446.0000000000	tib12
9.7243000000	0.0002000000	stimulus	n/a	97243.0000000000	tib12
9.9726000000	0.0002000000	stimulus	n/a	99726.0000000000	tib2
10.2243000000	0.0002000000	stimulus	n/a	102243.0000000000	tib2
10.5051000000	0.0002000000	stimulus	n/a	105051.0000000000	tib2
10.7530000000	0.0002000000	stimulus	n/a	107530.0000000000	tib12
10.9943000000	0.0002000000	stimulus	n/a	109943.0000000000	tib12
11.2475000000	0.0002000000	stimulus	n/a	112475.0000000000	tib1
11.5044000000	0.0002000000	stimulus	n/a	115044.0000000000	tib1
11.7775000000	0.0002000000	stimulus	n/a	117775.0000000000	tib2
12.0544000000	0.0002000000	stimulus	n/a	120544.0000000000	tib2
12.2915000000	0.0002000000	stimulus	n/a	122915.0000000000	tib2
12.5745000000	0.0002000000	stimulus	n/a	125745.0000000000	tib12
12.8199000000	0.0002000000	stimulus	n/a	128199.0000000000	tib2
13.0649000000	0.0002000000	stimulus	n/a	130649.0000000000	tib2
13.3219000000	0.0002000000	stimulus	n/a	133219.0000000000	tib2
13.5859000000	0.0002000000	stimulus	n/a	135859.0000000000	tib2
13.8609000000	0.0002000000	stimulus	n/a	138609.0000000000	tib12
14.0988000000	0.0002000000	stimulus	n/a	140988.0000000000	tib2
14.3407000000	0.0002000000	stimulus	n/a	143407.0000000000	tib2
14.5887000000	0.0002000000	stimulus	n/a	145887.0000000000	tib1
14.8596000000	0.0002000000	stimulus	n/a	148596.0000000000	tib1
15.1276000000	0.0002000000	stimulus	n/a	151276.0000000000	tib2
15.4135000000	0.0002000000	stimulus	n/a	154135.0000000000	tib12
15.6809000000	0.0002000000	stimulus	n/a	156809.0000000000	tib12
15.9429000000	0.0002000000	stimulus	n/a	159429.0000000000	tib1
16.2139000000	0.0002000000	stimulus	n/a	162139.0000000000	tib1
